Tahun,Tanaman,Bulan,Produksi,Suhu_Rata2_Nasional,Rata_Rata_Curah_Hujan_Nasional
2015,Gula Tebu,11,16.57,27.52373014000501,13.217328928289255
2015,Karet Kering,12,78.73,27.191404406256048,14.652809785458828
2015,Minyak Sawit,12,1627.53,27.191404406256048,14.652809785458828
2015,Kopi,12,-,27.191404406256048,14.652809785458828
2015,Teh,12,6.51,27.191404406256048,14.652809785458828
2015,Gula Tebu,12,1.93,27.191404406256048,14.652809785458828
2016,Karet Kering,1,37.54,27.50027383361371,13.859587821958234
2016,Minyak Sawit,1,1594.51,27.50027383361371,13.859587821958234
2016,Kopi,1,0.01,27.50027383361371,13.859587821958234
2016,Teh,1,8.58,27.50027383361371,13.859587821958234
2016,Gula Tebu,1,0.16,27.50027383361371,13.859587821958234
2016,Karet Kering,2,37.44,27.40438081629212,16.036787651006282
2016,Minyak Sawit,2,1523.1,27.40438081629212,16.036787651006282
2016,Kopi,2,0,27.40438081629212,16.036787651006282
2016,Teh,2,7.57,27.40438081629212,16.036787651006282
2016,Gula Tebu,2,2.81,27.40438081629212,16.036787651006282
2016,Karet Kering,3,37.76,27.768865809717607,13.88046835676668
2016,Minyak Sawit,3,1498.2,27.768865809717607,13.88046835676668
2016,Kopi,3,0.01,27.768865809717607,13.88046835676668
2016,Teh,3,7.68,27.768865809717607,13.88046835676668
2016,Gula Tebu,3,4.11,27.768865809717607,13.88046835676668
