Tahun,Bulan,Tanaman,Prediksi,Suhu_Nasional_Rata2_Tahunan,Total_RR_Nasional_Tahunan,Luas_Lahan,lag1,lag3,Skenario
2026,7,Gula Tebu,144.0118636306441,36.943902640278885,1341837.2036666672,247.3240000000001,150.44852862565978,79.79151659210267,Optimistis
2026,8,Gula Tebu,156.46163529515232,36.943902640278885,1341837.2036666672,247.3240000000001,144.0118636306441,119.80652917158667,Optimistis
2026,9,Gula Tebu,122.7391054227617,36.943902640278885,1341837.2036666672,247.3240000000001,156.46163529515232,150.44852862565978,Optimistis
2026,10,Gula Tebu,83.30082528383102,36.943902640278885,1341837.2036666672,247.3240000000001,122.7391054227617,144.0118636306441,Optimistis
2026,11,Gula Tebu,41.872019556556126,36.943902640278885,1341837.2036666672,247.3240000000001,83.30082528383102,156.46163529515232,Optimistis
2026,12,Gula Tebu,25.795514357723746,36.943902640278885,1341837.2036666672,247.3240000000001,41.872019556556126,122.7391054227617,Optimistis
2027,1,Gula Tebu,22.757752182333732,40.63829290430679,1476020.9240333338,272.0564000000001,25.795514357723746,83.30082528383102,Optimistis
2027,2,Gula Tebu,27.711667618400327,40.63829290430679,1476020.9240333338,272.0564000000001,22.757752182333732,41.872019556556126,Optimistis
2027,3,Gula Tebu,36.252111320027126,40.63829290430679,1476020.9240333338,272.0564000000001,27.711667618400327,25.795514357723746,Optimistis
2027,4,Gula Tebu,79.78568958015646,40.63829290430679,1476020.9240333338,272.0564000000001,36.252111320027126,22.757752182333732,Optimistis
2027,5,Gula Tebu,119.80544348940133,40.63829290430679,1476020.9240333338,272.0564000000001,79.78568958015646,27.711667618400327,Optimistis
2027,6,Gula Tebu,150.45226211790592,40.63829290430679,1476020.9240333338,272.0564000000001,119.80544348940133,36.252111320027126,Optimistis
2027,7,Gula Tebu,144.00965746826063,40.63829290430679,1476020.9240333338,272.0564000000001,150.45226211790592,79.78568958015646,Optimistis
2027,8,Gula Tebu,156.46414489954924,40.63829290430679,1476020.9240333338,272.0564000000001,144.00965746826063,119.80544348940133,Optimistis
2027,9,Gula Tebu,122.73416846635666,40.63829290430679,1476020.9240333338,272.0564000000001,156.46414489954924,150.45226211790592,Optimistis
2027,10,Gula Tebu,83.30325245530017,40.63829290430679,1476020.9240333338,272.0564000000001,122.73416846635666,144.00965746826063,Optimistis
2027,11,Gula Tebu,41.87454590989526,40.63829290430679,1476020.9240333338,272.0564000000001,83.30325245530017,156.46414489954924,Optimistis
2027,12,Gula Tebu,25.79988454010676,40.63829290430679,1476020.9240333338,272.0564000000001,41.87454590989526,122.73416846635666,Optimistis
2025,1,Karet Kering,16.38699719385888,33.58536603661716,1219852.0033333336,329.3400000000001,15.67,14.89,Optimistis
2025,2,Karet Kering,15.206763645766856,33.58536603661716,1219852.0033333336,329.3400000000001,16.38699719385888,14.69,Optimistis
2025,3,Karet Kering,15.02159534135362,33.58536603661716,1219852.0033333336,329.3400000000001,15.206763645766856,15.67,Optimistis
2025,4,Karet Kering,14.518376302447994,33.58536603661716,1219852.0033333336,329.3400000000001,15.02159534135362,16.38699719385888,Optimistis
2025,5,Karet Kering,14.693517789531679,33.58536603661716,1219852.0033333336,329.3400000000001,14.518376302447994,15.206763645766856,Optimistis
2025,6,Karet Kering,16.81323756468642,33.58536603661716,1219852.0033333336,329.3400000000001,14.693517789531679,15.02159534135362,Optimistis
2025,7,Karet Kering,16.35375224204074,33.58536603661716,1219852.0033333336,329.3400000000001,16.81323756468642,14.518376302447994,Optimistis
2025,8,Karet Kering,14.972083788753029,33.58536603661716,1219852.0033333336,329.3400000000001,16.35375224204074,14.693517789531679,Optimistis
2025,9,Karet Kering,16.14811481994835,33.58536603661716,1219852.0033333336,329.3400000000001,14.972083788753029,16.81323756468642,Optimistis
2025,10,Karet Kering,15.525351089629918,33.58536603661716,1219852.0033333336,329.3400000000001,16.14811481994835,16.35375224204074,Optimistis
2025,11,Karet Kering,15.431382502628118,33.58536603661716,1219852.0033333336,329.3400000000001,15.525351089629918,14.972083788753029,Optimistis
2025,12,Karet Kering,16.73345747794961,33.58536603661716,1219852.0033333336,329.3400000000001,15.431382502628118,16.14811481994835,Optimistis
2026,1,Karet Kering,16.79129410108598,36.943902640278885,1341837.2036666672,362.2740000000001,16.73345747794961,15.525351089629918,Optimistis
2026,2,Karet Kering,15.729820785071027,36.943902640278885,1341837.2036666672,362.2740000000001,16.79129410108598,15.431382502628118,Optimistis
2026,3,Karet Kering,15.538001166351947,36.943902640278885,1341837.2036666672,362.2740000000001,15.729820785071027,16.73345747794961,Optimistis
2026,4,Karet Kering,14.76686498127987,36.943902640278885,1341837.2036666672,362.2740000000001,15.538001166351947,16.79129410108598,Optimistis
2026,5,Karet Kering,14.798309917513802,36.943902640278885,1341837.2036666672,362.2740000000001,14.76686498127987,15.729820785071027,Optimistis
2026,6,Karet Kering,17.095114567810274,36.943902640278885,1341837.2036666672,362.2740000000001,14.798309917513802,15.538001166351947,Optimistis
2026,7,Karet Kering,16.50065224792251,36.943902640278885,1341837.2036666672,362.2740000000001,17.095114567810274,14.76686498127987,Optimistis
2026,8,Karet Kering,15.393517543396936,36.943902640278885,1341837.2036666672,362.2740000000001,16.50065224792251,14.798309917513802,Optimistis
2026,9,Karet Kering,16.425422958236478,36.943902640278885,1341837.2036666672,362.2740000000001,15.393517543396936,17.095114567810274,Optimistis
2026,10,Karet Kering,15.966664867671899,36.943902640278885,1341837.2036666672,362.2740000000001,16.425422958236478,16.50065224792251,Optimistis
2026,11,Karet Kering,15.680872730706735,36.943902640278885,1341837.2036666672,362.2740000000001,15.966664867671899,15.393517543396936,Optimistis
2026,12,Karet Kering,17.101927342505906,36.943902640278885,1341837.2036666672,362.2740000000001,15.680872730706735,16.425422958236478,Optimistis
2027,1,Karet Kering,19.57234245637436,40.63829290430679,1476020.9240333338,398.5014000000002,17.101927342505906,15.966664867671899,Optimistis
2027,2,Karet Kering,19.304381182113474,40.63829290430679,1476020.9240333338,398.5014000000002,19.57234245637436,15.680872730706735,Optimistis
2027,3,Karet Kering,19.375944650967277,40.63829290430679,1476020.9240333338,398.5014000000002,19.304381182113474,17.101927342505906,Optimistis
2027,4,Karet Kering,19.06691732236073,40.63829290430679,1476020.9240333338,398.5014000000002,19.375944650967277,19.57234245637436,Optimistis
2027,5,Karet Kering,19.802366234601447,40.63829290430679,1476020.9240333338,398.5014000000002,19.06691732236073,19.304381182113474,Optimistis
2027,6,Karet Kering,21.268232434606496,40.63829290430679,1476020.9240333338,398.5014000000002,19.802366234601447,19.375944650967277,Optimistis
2027,7,Karet Kering,20.559579378131943,40.63829290430679,1476020.9240333338,398.5014000000002,21.268232434606496,19.06691732236073,Optimistis
2027,8,Karet Kering,19.21578475411375,40.63829290430679,1476020.9240333338,398.5014000000002,20.559579378131943,19.802366234601447,Optimistis
2027,9,Karet Kering,21.709285200923503,40.63829290430679,1476020.9240333338,398.5014000000002,19.21578475411375,21.268232434606496,Optimistis
2027,10,Karet Kering,21.951814770337254,40.63829290430679,1476020.9240333338,398.5014000000002,21.709285200923503,20.559579378131943,Optimistis
2027,11,Karet Kering,21.417034952540092,40.63829290430679,1476020.9240333338,398.5014000000002,21.951814770337254,19.21578475411375,Optimistis
2027,12,Karet Kering,23.24452177637044,40.63829290430679,1476020.9240333338,398.5014000000002,21.417034952540092,21.709285200923503,Optimistis
2025,1,Kopi,0.013723551754888819,33.58536603661716,1219852.0033333336,22.55,0.02,0.09,Optimistis
2025,2,Kopi,-0.026995215608724754,33.58536603661716,1219852.0033333336,22.55,0.013723551754888819,0.05,Optimistis
2025,3,Kopi,-0.1066135355121427,33.58536603661716,1219852.0033333336,22.55,-0.026995215608724754,0.02,Optimistis
2025,4,Kopi,0.023331283943019754,33.58536603661716,1219852.0033333336,22.55,-0.1066135355121427,0.013723551754888819,Optimistis
2025,5,Kopi,0.28055889234654674,33.58536603661716,1219852.0033333336,22.55,0.023331283943019754,-0.026995215608724754,Optimistis
2025,6,Kopi,0.861441093370902,33.58536603661716,1219852.0033333336,22.55,0.28055889234654674,-0.1066135355121427,Optimistis
